# mcs, cbs, sinr, bler
2,3624.00,-0.95,0.063
3,3752.00,0.60,0.000
4,3752.00,2.14,0.009
5,3752.00,3.62,0.011
6,3752.00,4.85,0.087
7,3752.00,7.00,0.012
8,3752.00,7.80,0.012
9,3752.00,8.70,0.004
10,3752.00,9.56,0.014
11,3752.00,10.37,0.096
12,3752.00,11.21,0.008
13,3752.00,12.60,0.002
14,3752.00,13.25,0.043
15,3752.00,14.40,0.007
16,3752.00,15.23,0.017
17,3752.00,16.27,0.013
18,272.00,17.94,0.096
19,272.00,19.46,0.087
20,120.00,24.85,0.046
21,3752.00,21.17,0.003
22,272.00,23.83,0.053
23,288.00,24.83,0.051
24,256.00,30.75,0.081
