# mcs, cbs, sinr, bler
2,8064.00,2.14,0.006
3,8192.00,2.81,0.029
4,8192.00,3.50,0.065
5,8192.00,4.15,0.042
6,8192.00,4.94,0.019
7,8192.00,5.75,0.013
8,8192.00,6.32,0.054
9,8192.00,7.09,0.013
10,8192.00,7.75,0.065
11,8192.00,8.56,0.043
12,8192.00,9.41,0.035
13,8192.00,10.31,0.053
14,8192.00,11.07,0.001
15,8192.00,11.66,0.043
16,8192.00,12.26,0.055
17,8192.00,13.21,0.051
18,7808.00,14.06,0.053
19,8192.00,14.93,0.034
20,8192.00,16.02,0.001
21,8192.00,16.69,0.058
22,8192.00,18.00,0.001
23,8192.00,18.85,0.002
24,8192.00,19.93,0.003
25,8192.00,20.90,0.003
26,928.00,20.94,0.001
